fetches,wallclock,fetch_ms,fetch_http,bytes,probe,probe_ms,note
455,17:04:50,43,200,3046,,0,
456,17:04:50,40,200,3175,,0,
457,17:04:50,40,200,2986,,0,
458,17:04:50,45,200,3226,,0,
459,17:04:50,39,200,3058,,0,
460,17:04:50,39,200,3227,,0,
461,17:04:50,46,200,3041,,0,
462,17:04:50,41,200,3229,,0,
463,17:04:50,37,200,3028,,0,
464,17:04:50,46,200,3246,,0,
465,17:04:51,37,200,2999,,0,
466,17:04:51,41,200,3328,,0,
467,17:04:51,38,200,3106,,0,
468,17:04:51,42,200,3275,,0,
469,17:04:51,40,200,3054,,0,
470,17:04:51,37,200,3242,,0,
471,17:04:51,51,200,2984,,0,
472,17:04:51,39,200,3247,,0,
473,17:04:51,40,200,3088,,0,
474,17:04:51,44,200,3325,,0,
475,17:04:51,50,200,3051,,0,
476,17:04:51,45,200,3249,,0,
477,17:04:51,46,200,3081,,0,
478,17:04:51,37,200,3263,,0,
479,17:04:51,40,200,3065,,0,
480,17:05:00,45,200,3202,OK,8933,
481,17:05:00,34,200,3036,,0,
482,17:05:00,50,200,3191,,0,
483,17:05:00,43,200,3078,,0,
484,17:05:00,36,200,3225,,0,
485,17:05:00,46,200,3047,,0,
486,17:05:00,39,200,3196,,0,
487,17:05:00,36,200,3078,,0,
488,17:05:00,39,200,3217,,0,
489,17:05:00,45,200,3021,,0,
490,17:05:01,39,200,3247,,0,
491,17:05:01,39,200,3044,,0,
492,17:05:01,46,200,3227,,0,
493,17:05:01,40,200,3059,,0,
494,17:05:01,40,200,3219,,0,
495,17:05:01,48,200,3010,,0,
496,17:05:01,41,200,3204,,0,
497,17:05:01,36,200,3031,,0,
498,17:05:01,52,200,3169,,0,
499,17:05:01,34,200,3022,,0,
500,17:05:01,38,200,3151,,0,
